date,customer_id,amount
2025-11-24,36,1988.93
2025-11-24,5,1455.1
2025-11-25,39,3672.96
2025-11-25,48,3004.71
2025-11-25,44,2015.42
2025-11-24,1,626.85
2025-11-25,10,4318.32
2025-11-24,14,3734.58
2025-11-24,37,1019.44
2025-11-24,12,1696.39
2025-11-24,15,281.36
2025-11-25,28,376.04
2025-11-25,49,603.25
2025-11-25,2,811.75
2025-11-25,48,625.04
2025-11-25,25,2495.27
2025-11-24,14,1558.26
2025-11-25,23,4105.0
2025-11-24,3,4345.24
2025-11-25,34,4415.09
2025-11-25,10,4909.74
2025-11-25,37,2408.25
2025-11-25,43,919.66
2025-11-24,19,1697.57
2025-11-24,2,1182.63
2025-11-25,10,2033.55
2025-11-25,13,4484.67
2025-11-25,46,575.6
2025-11-24,47,3627.36
2025-11-24,23,4864.64
2025-11-24,42,817.4
2025-11-25,24,628.23
2025-11-25,38,4892.82
2025-11-25,9,3885.95
2025-11-25,17,1306.53
2025-11-24,35,1681.98
2025-11-24,35,1986.8
2025-11-25,5,3047.9
2025-11-24,36,3842.27
2025-11-25,25,4475.05
2025-11-25,43,921.11
2025-11-25,35,4715.76
2025-11-25,30,1046.14
2025-11-24,38,3215.13
2025-11-24,40,1962.3
2025-11-24,21,541.91
2025-11-25,18,2385.59
2025-11-25,34,2031.82
2025-11-24,9,691.2
2025-11-24,33,2389.34
2025-11-24,31,2486.27
2025-11-24,49,3979.4
2025-11-24,10,1167.35
2025-11-24,39,1704.83
2025-11-24,43,3220.22
2025-11-24,31,4269.31
2025-11-24,29,2202.79
2025-11-25,24,3371.34
2025-11-25,26,4676.47
2025-11-25,48,974.26
2025-11-25,44,394.82
2025-11-25,44,3489.08
2025-11-24,23,3689.54
2025-11-24,3,1952.02
2025-11-24,36,4711.46
2025-11-25,3,3275.92
2025-11-25,7,4663.42
2025-11-24,31,3456.76
2025-11-24,45,2712.66
2025-11-25,2,3621.93
2025-11-25,49,3597.57
2025-11-24,33,3994.61
2025-11-24,4,812.77
2025-11-24,46,254.5
2025-11-25,35,1295.06
2025-11-25,12,4121.74
2025-11-24,28,3177.21
2025-11-25,2,503.14
2025-11-25,9,1592.48
2025-11-24,49,4863.18
2025-11-25,7,4561.59
2025-11-25,41,1474.11
2025-11-24,4,1696.83
2025-11-25,14,2485.96
2025-11-25,28,365.11
2025-11-24,38,3750.23
2025-11-25,29,1607.05
2025-11-25,49,1076.43
2025-11-25,21,2872.3
2025-11-24,40,4652.15
2025-11-25,31,121.43
2025-11-24,12,4274.11
2025-11-24,14,4774.49
2025-11-25,23,4114.64
2025-11-24,36,3024.88
2025-11-24,14,4700.29
2025-11-25,15,3698.96
2025-11-24,6,2766.92
2025-11-25,21,300.17
2025-11-25,34,3809.17
2025-11-25,29,456.15
2025-11-25,35,138.22
2025-11-24,37,4082.2
